source,target,status_naive,primary_path_naive,backup_path_naive,primary_length_naive,backup_length_naive,total_length_naive,status_suurballe,primary_path_suurballe,backup_path_suurballe,primary_length_suurballe,backup_length_suurballe,total_length_suurballe,total_length_difference,backup_length_difference
1,2,accepted,1-2,1-3-4-2,1,3,4,accepted,1-2,1-3-4-2,1,3,4,0,0
1,3,accepted,1-3,1-2-4-3,1,3,4,accepted,1-3,1-2-4-3,1,3,4,0,0
1,4,accepted,1-2-4,1-3-4,2,2,4,accepted,1-2-4,1-3-4,2,2,4,0,0
1,5,accepted,1-2-5,1-16-5,2,2,4,accepted,1-2-5,1-16-5,2,2,4,0,0
1,6,accepted,1-2-6,1-3-4-6,2,3,5,accepted,1-2-6,1-3-4-6,2,3,5,0,0
1,7,accepted,1-2-7,1-16-5-7,2,3,5,accepted,1-2-7,1-16-5-7,2,3,5,0,0
1,8,accepted,1-2-8,1-3-4-8,2,3,5,accepted,1-2-8,1-3-4-8,2,3,5,0,0
1,9,accepted,1-2-9,1-3-4-9,2,3,5,accepted,1-2-9,1-3-4-9,2,3,5,0,0
1,10,accepted,1-2-6-10,1-16-5-7-10,3,4,7,accepted,1-2-6-10,1-16-5-7-10,3,4,7,0,0
1,11,accepted,1-2-11,1-3-4-11,2,3,5,accepted,1-2-11,1-3-4-11,2,3,5,0,0
1,12,accepted,1-2-12,1-16-5-7-12,2,4,6,accepted,1-2-12,1-16-5-7-12,2,4,6,0,0
1,13,accepted,1-2-7-13,1-3-4-9-13,3,4,7,accepted,1-2-7-13,1-3-4-9-13,3,4,7,0,0
1,14,accepted,1-2-14,1-3-4-14,2,3,5,accepted,1-2-14,1-3-4-14,2,3,5,0,0
1,15,accepted,1-2-11-15,1-3-4-6-10-15,3,5,8,accepted,1-2-11-15,1-3-4-6-10-15,3,5,8,0,0
1,16,accepted,1-16,1-2-5-16,1,3,4,accepted,1-16,1-2-5-16,1,3,4,0,0
2,3,accepted,2-1-3,2-4-3,2,2,4,accepted,2-1-3,2-4-3,2,2,4,0,0
2,4,accepted,2-4,2-5-4,1,2,3,accepted,2-4,2-5-4,1,2,3,0,0
2,5,accepted,2-5,2-4-5,1,2,3,accepted,2-5,2-4-5,1,2,3,0,0
2,6,accepted,2-6,2-4-6,1,2,3,accepted,2-6,2-4-6,1,2,3,0,0
2,7,accepted,2-7,2-5-7,1,2,3,accepted,2-7,2-5-7,1,2,3,0,0
2,8,accepted,2-8,2-4-8,1,2,3,accepted,2-8,2-4-8,1,2,3,0,0
2,9,accepted,2-9,2-4-9,1,2,3,accepted,2-9,2-4-9,1,2,3,0,0
2,10,accepted,2-6-10,2-7-10,2,2,4,accepted,2-6-10,2-7-10,2,2,4,0,0
